365.0,730.0,1095.0,1460.0,1825.0,cltsex_x,marryd_x,occpcode_x,marketbased,entry_age,churn,amtpaid,elapseddays,clntnum,premium,,net_profit,cltvscore,percentile,cltvband,client_name,cltsex_y,marryd_y,occpcode_y,latitude,longitude
0.9241766387189013,0.789055162470114,0.789055162470114,0.789055162470114,0.789055162470114,1,3,0,0,1,0,1,1506,0002234 ,3765.44,0.0,3765.44,11877.725253986293,11.68091168091168,low value,Premium Collection,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,1945,0002289 ,1080986.1,0.0,1080986.1,4156178.367936251,98.86039886039886,high value,Andy F Bambang,M,M,ACCT,,
1.0,1.0,1.0,1.0,1.0,1,4,1,0,2,0,2,1945,0002377 ,226900.13,275000.0,-48099.87,-184934.51413903089,1.8518518518518516,low value,test test TPD New product,M,S,ACCT,,
1.0,1.0,1.0,1.0,1.0,0,3,0,1,1,0,2,1945,50000811,187143.04,0.0,187143.04,719528.0814044034,89.31623931623932,high value,Robin Williams,F,M,    ,,
0.9824207984306612,0.9421501986162372,0.6800916932548887,0.6752335110491547,0.6752335110491547,1,4,0,0,0,0,1,849,50000834,14241.96,0.0,14241.96,44017.62069107505,31.196581196581196,medium value,Payer Tham PVM,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,0,1,0,2,3771,50000847,186468.11,0.0,186468.11,716933.1086606546,89.03133903133903,high value,BOSCO DON,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,6,0,1,0,1,1900,50000908,40346.88,0.0,40346.88,155125.79659416503,62.96296296296296,high value,John Anderson,M,S,ANYS,,
1.0,1.0,1.0,1.0,1.0,1,4,6,0,1,0,1,10,50000913,11683.84,0.0,11683.84,44922.06057268293,32.05128205128205,medium value,John Smith,M,S,ANYS,,
0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,1,3,0,0,1,0,1,1914,50000956,35483.17,0.0,35483.17,116479.32878478648,55.41310541310541,medium value,Denis Martin,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50001036,1544.0,0.0,1544.0,5624.433472953826,9.401709401709402,low value,Way Tily,M,M,    ,,
0.9706696891126214,0.769827237934293,0.7659119292475746,0.7659119292475746,0.7659119292475746,1,3,0,0,1,0,1,1214,50001069,21866.88,0.0,21866.88,68460.33588887576,37.464387464387464,medium value,Scott Fritz,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,6,1,1,0,2,3771,50001084,551228.7,16198781.95,-15647553.25,-60161756.31562754,0.8547008547008548,low value,Michael Park,M,M,ANYS,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,2,2675,50001156,341952.47,0.0,341952.47,1314739.8090284136,95.44159544159544,high value,William Rob,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,0,3,0,0,1,0,1,1945,50001165,4682.0,0.0,4682.0,18001.366639846274,16.381766381766383,low value,Rose Dawson,F,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,1,1,1,0,1,2190,50001181,52069.82,0.0,52069.82,200198.18895574549,68.66096866096866,high value,John James,M,M,ACCT,,
1.0,1.0,1.0,1.0,1.0,1,3,8,1,1,0,1,1825,50001184,7209.44,0.0,7209.44,27718.874991023775,21.937321937321936,low value,Target Four,M,M,AUDI,,
1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,0.7563111920061039,1,3,0,0,1,0,1,484,50001185,18077.28,0.0,18077.28,62686.662745504334,35.75498575498576,medium value,Steve Roger,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,0,3771,50001189,5024440.33,1002658805.71,-997634365.38,-3835707386.526215,0.14245014245014245,low value,Bill Cage,M, ,    ,,
0.999994683026343,0.999994683026343,0.999994683026343,0.999994683026343,0.999994683026343,1,3,1,1,1,0,0,1580,50001198,11500860.98,0.0,11500860.98,44218307.21814703,99.85754985754986,high value,sdfsdfdsf sadsad,M,M,ACCT,,
,,,,,1,4,0,0,1,1,1,1945,50001209,38346.88,0.0,38346.88,,,high value,John Anderson,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,1,1945,50001357,18457.6,0.0,18457.6,70965.83188629358,38.319088319088316,medium value,Pit Test,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,2,0,0,4502,50001383,2413862.73,306794.16,2107068.57,8101263.106336308,99.43019943019942,high value,ABmodifya ABmodifya,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,9,1,1,0,2,1580,50001386,864578.46,0.0,864578.46,3324133.6709469594,98.14814814814815,high value,Ming Lu,M, ,ACCT,,
1.0,1.0,1.0,1.0,1.0,0,3,7,1,2,0,1,1580,50001387,32264.96,0.0,32264.96,124052.40806919572,57.83475783475783,medium value,john Dennis mani,M,M,BAKE,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,1,1945,50001393,22400.0,0.0,22400.0,86123.58238627863,45.01424501424501,medium value,Lulu Rosy,F,M,ARCH,,
1.0,1.0,0.9945831624263911,0.9819157405151905,0.8886348094100568,0,4,0,0,1,0,1,119,50001456,4217.92,0.0,4217.92,15826.177471821977,14.957264957264957,low value,John Henry,M,M,    ,,
0.8695755512497831,0.8695755512497831,0.8695755512497831,0.8695755512497831,0.8695755512497831,1,4,0,0,1,0,1,1762,50001463,21232.27,55050.0,-33817.73,-113064.38927745991,1.9943019943019942,low value,Sharma Amaamni,F,S,    ,,
0.9837412159406103,0.9837412159406103,0.9837412159406103,0.9659235802819526,0.9273380119862088,0,3,0,0,1,0,1,10,50001467,26452.65,0.0,26452.65,98702.28176413772,49.002849002849004,medium value,Irfan Khan,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,0,4,6,1,1,0,1,1945,50001476,84636.16,0.0,84636.16,325409.3436883152,79.05982905982906,high value,Manoj Sheetal,F,M,    ,,
1.0,1.0,1.0,1.0,1.0,0,3,0,1,1,0,0,3757,50001483,1072238.72,0.0,1072238.72,4122546.4169499082,98.71794871794873,high value,Richa Sharma,F,S,ANYS,,
1.0,1.0,1.0,1.0,1.0,1,5,0,1,1,0,1,2310,50001495,36522.68,0.0,36522.68,140422.50178337906,61.25356125356125,high value,Sushmita Tiwari,F,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,1,1,1,0,1,1945,50001529,10547.4,0.0,10547.4,40552.67289558193,27.350427350427353,low value,Parth Gevik,M,Z,    ,,
0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,1,3,0,1,1,0,1,1580,50001605,81327.66,0.0,81327.66,302290.8899712082,76.78062678062678,high value,Amit Manocha,M,M,ACCT,,
1.0,1.0,0.9999997676535768,0.9999992193277604,0.999994949367225,1,3,1,1,1,0,1,119,50001652,22534.4,0.0,22534.4,86640.23002506809,45.2991452991453,medium value,Ethan Hunt,M,M,    ,,
1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,0.7563111920061039,1,3,0,0,1,0,1,484,50001655,25917.54,0.0,25917.54,89874.36656250931,46.58119658119658,medium value,Personal Client Personal Client,M,M,ACCT,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50001736,26245.52,0.0,26245.52,95606.33497608751,47.863247863247864,medium value,Sebastian Song Newi,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,1,2310,50001745,41592.15,0.0,41592.15,159913.61415836867,63.53276353276354,high value,willaim Roger,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,1,1945,50001817,10349.65,0.0,10349.65,39792.36314482806,26.780626780626783,low value,Ishmeet Singh,M,M,    ,,
1.0,1.0,0.993875360197566,0.9795698206097466,0.8749888677846557,0,3,0,0,1,0,1,119,50001822,35875.84,0.0,35875.84,134198.8720097819,60.541310541310544,high value,Matt Dimitrov,M,S,    ,,
1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,0.7563111920061039,1,3,0,0,1,0,1,484,50001980,543.39,0.0,543.39,1884.3158743616075,5.270655270655271,low value,Cecilin Regina,F,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,1,1,1,0,1,2310,50002004,40775.84,342181.74,-301405.9,-1158846.2437660918,1.282051282051282,low value,daniel jack,M,M,    ,,
0.995320871771541,0.9838215638266227,0.9631205285575193,0.9631205285575193,0.9631205285575193,1,3,0,1,2,0,1,1094,50002103,1691.2,0.0,1691.2,6339.5650468434305,9.686609686609685,low value,Kashinath Saxena,M,M,ACCT,,
1.0,1.0,0.9920992397080479,0.9737004336372691,0.8416211402101353,1,3,0,0,2,0,1,119,50002118,93237.56,0.0,93237.56,346139.36568137887,80.05698005698005,high value,Nishant Saxena,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,0,1,0,1,3771,50002154,57062.88,0.0,57062.88,219395.51994992545,70.7977207977208,high value,ONE TWL,M,M,    ,,
,,,,,1,3,0,0,1,1,1,119,50002160,48096.12,0.0,48096.12,,,high value,IWA Testing,M,S,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002193,167421.6,0.0,167421.6,639327.5540158731,88.17663817663818,high value,TWO TWL,M,M,    ,,
0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,1,3,0,0,1,0,1,1580,50002210,15361.92,0.0,15361.92,50428.02349523977,33.47578347578348,medium value,SIX RUL,M,M,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002220,438049.92,0.0,438049.92,1672767.3364156652,96.58119658119658,high value,Amit Manocha,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,0,1,0,1,1945,50002301,3890.39,0.0,3890.39,14957.782307131896,14.387464387464387,low value,Surrender RUL,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002305,22668.8,0.0,22668.8,86087.12981765365,44.871794871794876,medium value,Nishant Saxena,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,1,0,1,0,1,1945,50002322,16556.38,420375.0,-403818.62,-1552602.954851935,1.1396011396011396,low value,Chawla Rahul,M,M,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002326,270412.8,0.0,270412.8,1032616.7830111736,93.01994301994301,high value,Nishant Saxena,M,M,ACCT,,
0.9936534754257778,0.9936534754257778,0.9936534754257778,0.9866243466074194,0.9711255654876527,1,4,0,1,1,0,1,10,50002335,11334.4,0.0,11334.4,43071.73919727401,30.484330484330485,medium value,Singh Anuj,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002336,41161.12,0.0,41161.12,156313.64169607658,63.24786324786324,high value,sen sdf,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,0,1,0,1,1945,50002339,2352.0,0.0,2352.0,9042.976150559256,11.396011396011396,low value,singh Anhuj,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,0,1,0,1,1945,50002352,16151.76,0.0,16151.76,62100.33183229463,35.47008547008547,medium value,Nishant Saxena,M,M,    ,,
1.0,1.0,0.9889094430256664,0.9632214843459909,0.7847198452315755,1,4,0,0,1,0,1,119,50002357,8050.56,0.0,8050.56,29496.441968087332,22.364672364672362,low value,Nishant Saxena,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,1,3406,50002397,84492.8,0.0,84492.8,324858.152761043,78.91737891737893,high value,xdfgxdf dsf,M,S,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002399,135206.4,0.0,135206.4,516308.3915055868,84.9002849002849,high value,ASDASD SADSAD,M,S,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002410,33801.6,0.0,33801.6,128365.09772217328,59.401709401709404,medium value,Singh Ashu,M,M,    ,,
0.9936534754257778,0.9936534754257778,0.9936534754257778,0.9866243466074194,0.9711255654876527,1,4,0,1,1,0,1,10,50002413,22534.4,0.0,22534.4,85632.74630920486,43.162393162393165,medium value,Grover Atul,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002416,44934.4,0.0,44934.4,170643.06562669293,65.24216524216524,high value,sinha singh,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,2,3681,50002452,365747.2,0.0,365747.2,1406225.8532031574,95.86894586894587,high value,Pal Inder,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002454,82230.4,0.0,82230.4,312278.5114235243,77.49287749287748,high value,Ronn Century,M,S,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50002474,28705.11,0.0,28705.11,104566.05021296736,51.13960113960114,medium value,Kumar Rana,M,M,    ,,
,,,,,1,3,0,0,1,1,1,119,50002489,48096.12,0.0,48096.12,,,high value,Gaurav Gupta,M,M,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002499,413266.56,0.0,413266.56,1578127.9056068875,96.43874643874643,high value,Nishant Saxena,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,2,0,1,5597,50002500,24918.88,0.0,24918.88,95808.17922561566,48.00569800569801,medium value,Ashok Kumar,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,1,0,0,3771,50002502,20313203.52,0.0,20313203.52,78100261.46803415,100.0,high value,Amar Shrivastava,M,S,    ,,
0.9817381656125327,0.9817381656125327,0.9817381656125327,0.9617685081445487,0.9186803851014744,1,3,0,0,1,0,2,10,50002530,139105.76,0.0,139105.76,517129.3572713474,85.04273504273505,high value,Moss Taylor,M,S,    ,,
,,,,,1,3,0,0,1,1,2,119,50002533,302480.64,0.0,302480.64,,,high value,sam virmani,M,M,    ,,
1.0,1.0,0.9939116872922072,0.9796901261791129,0.8756843350896808,1,4,0,0,1,0,2,119,50002563,398547.52,0.0,398547.52,1491059.2798950747,96.15384615384616,high value,Mohit Goel,M,M,    ,,
,,,,,1,3,0,0,1,1,1,119,50002569,65600.64,0.0,65600.64,,,high value,ten reversal,M,S,    ,,
1.0,1.0,0.9985232508226585,0.9950468363288004,0.9683858616739801,1,3,0,1,1,0,2,119,50002580,133781.76,0.0,133781.76,510868.1639211344,84.61538461538461,high value,Seth Singh,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50002617,1079.68,0.0,1079.68,3933.0235311391116,8.11965811965812,low value,Atul Kumar,M,M,    ,,
1.0,1.0,0.999999151129487,0.9999971478400519,0.9999815477864136,1,5,1,0,1,0,1,119,50002631,624.96,0.0,624.96,2402.838438824894,7.4074074074074066,low value,Nishant Saxena,M,M,    ,,
,,,,,1,3,0,0,1,1,1,119,50002641,53756.64,0.0,53756.64,,,high value,abc parikh,M,Z,ACCT,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002643,89868.8,0.0,89868.8,341286.13125338586,79.62962962962963,high value,Atul verma,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,2,0,1,3406,50002667,56268.8,0.0,56268.8,216342.43895433194,70.37037037037037,high value,Gaurav Singh,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,1,2,0,2,7058,50002670,216554.56,0.0,216554.56,832609.5754144785,90.5982905982906,high value,Ashish Sharma,M,S,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002678,14828.8,0.0,14828.8,56313.9129834849,34.61538461538461,medium value,ON Testing,M,S,    ,,
0.9669019355023675,0.9669019355023675,0.9669019355023675,0.9312864658818443,0.8565063309513056,1,3,0,0,1,0,1,10,50002679,7221.76,0.0,7221.76,26122.427245511157,21.225071225071225,low value,Atul Singh,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50002688,6656.45,0.0,6656.45,24247.90167813698,19.65811965811966,low value,Govind Pal,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50002689,82230.4,0.0,82230.4,312278.5114235243,77.49287749287748,high value,Amit Manocha,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,1,1945,50002706,9589.61,0.0,9589.61,36870.15923603935,25.071225071225072,low value,Gaurav Manocha,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50002719,3840.48,0.0,3840.48,13989.976855058105,13.817663817663817,low value,Rahul Singh,M,M,    ,,
1.0,1.0,0.9930115790743927,0.9767122655017507,0.8586065161814677,1,4,0,0,2,0,1,119,50002725,26149.76,0.0,26149.76,97455.5697291923,48.86039886039886,medium value,Test Autoincrease,M,M,    ,,
0.9252469292440031,0.9252469292440031,0.9252469292440031,0.9252469292440031,0.9252469292440031,1,5,0,0,2,0,1,1580,50002754,10140.48,0.0,10140.48,36073.66212865241,24.643874643874643,low value,Test Partsurrender,M,S,    ,,
1.0,1.0,1.0,1.0,1.0,1,3,0,1,1,0,2,1945,50002782,152728.32,161924200.26,-161771471.94,-621979405.8649174,0.4273504273504274,low value,Mohit Kumar,M,Z,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,0,2,0,1,2675,50002791,6088.5,0.0,6088.5,23409.081757091848,19.230769230769234,low value,Arpit Agarwal,M,M,    ,,
1.0,1.0,0.9889094430256664,0.9632214843459909,0.7847198452315755,1,4,0,0,1,0,1,119,50002793,11240.32,0.0,11240.32,41183.40172394609,27.92022792022792,low value,Kevin Roger,M,S,    ,,
1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,0.7563111920061039,1,3,0,0,1,0,1,484,50002933,9061.78,0.0,9061.78,31423.574051735457,23.076923076923077,low value,Soham Khan,M,S,    ,,
0.9624710238622469,0.9624710238622469,0.9624710238622469,0.9624710238622469,0.9624710238622469,1,2,0,1,1,0,1,1580,50002964,40.32,0.0,40.32,149.20461453241109,3.561253561253561,low value,Ronald Carter,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,0,3,0,0,1,0,0,3771,50003253,3479064.51,97742477.93,-94263413.42,-362424234.4504113,0.7122507122507122,low value,Gaurav Kumar,M,D,    ,,
1.0,1.0,0.9909730021686922,0.9743949819357574,0.9419931682625264,1,3,0,1,1,0,1,453,50003260,15016.0,0.0,15016.0,56766.53073779092,34.75783475783476,medium value,Ravita Singh,F,M,    ,,
,,,,,1,3,0,0,1,1,1,1580,50003418,20397.44,0.0,20397.44,,,high value,John amalan,M,M,    ,,
0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,0.8537925861920796,1,3,0,0,1,0,1,1580,50003419,20397.44,0.0,20397.44,66957.94429099641,37.32193732193732,medium value,Shambhu Nath,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50003450,4730.88,0.0,4730.88,17233.4972982693,15.527065527065528,low value,Devapriyo Chakma,M,M,    ,,
0.9158726066089516,0.9158726066089516,0.9158726066089516,0.9158726066089516,0.9158726066089516,1,4,0,0,2,0,1,1580,50003591,83186.88,0.0,83186.88,292930.08234480215,76.21082621082621,high value,John Snow,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50003777,11240.32,0.0,11240.32,42686.28630681681,28.63247863247863,low value,Ring Lee,M,S,    ,,
1.0,1.0,0.9931164494278424,0.9770588842453333,0.8605797524191646,1,3,0,0,1,0,2,119,50003980,294448.95,0.0,294448.95,1097850.5335992356,93.73219373219374,high value,Shane Warne,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004123,5059.2,0.0,5059.2,18429.490820186526,16.80911680911681,low value,Ansh Aggarwal,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004133,44843.32,0.0,44843.32,163353.8018435102,64.38746438746439,high value,John RTA,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50004178,11334.4,0.0,11334.4,43043.564908826826,30.1994301994302,medium value,John RTA,M,M,    ,,
1.0,1.0,0.9999989140251808,0.9999963511831667,0.9999763938200934,1,3,1,0,1,0,1,119,50004332,11402.18,0.0,11402.18,43838.91145636271,31.054131054131055,medium value,John RTA,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50004350,21057.56,0.0,21057.56,79968.27804572941,42.02279202279202,medium value,Ross TWLGeller,M,M,ACCT,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004370,4808.65,0.0,4808.65,17516.795349559205,15.81196581196581,low value,John RTA,M,M,    ,,
1.0,1.0,1.0,1.0,1.0,1,4,0,0,1,0,1,3771,50004402,44961.28,0.0,44961.28,172867.25456573846,65.8119658119658,high value,John RTA,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50004695,34003.2,0.0,34003.2,129130.69472648049,59.686609686609685,medium value,jone jack,M,S,    ,,
0.9740239524853957,0.7935204287570027,0.7899512370927675,0.7899512370927675,0.7899512370927675,1,4,0,0,1,0,1,1214,50004741,39979.52,0.0,39979.52,128112.54042758286,59.11680911680912,medium value,John RTA,M,M,    ,,
1.0,1.0,0.9889094430256664,0.9632214843459909,0.7847198452315755,1,4,0,0,1,0,1,119,50004816,89922.56,1934.16,87988.4,322380.64612459944,78.63247863247864,high value,Soham Khan,M,S,    ,,
0.9581040983447932,0.9581040983447932,0.9581040983447932,0.9581040983447932,0.9581040983447932,0,4,0,0,2,0,1,1580,50004836,34827.52,0.0,34827.52,128294.87744985738,59.25925925925925,medium value,mishra aditya,M,S,    ,,
1.0,1.0,0.9930115790743927,0.9767122655017507,0.8586065161814677,1,4,0,0,2,0,1,119,50004920,56201.6,3948.12,52253.48,194739.5564522564,68.37606837606837,high value,Beti Kumari,F,S,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004931,22637.44,0.0,22637.44,82462.93735620716,42.592592592592595,medium value,sharma aditya,M,S,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004932,19626.88,0.0,19626.88,71496.16634821761,38.603988603988604,medium value,Pappu Singh,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50004938,41954.37,0.0,41954.37,159326.09121823273,63.39031339031339,high value,Arun Singh,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50004939,43781.6,0.0,43781.6,166265.18751872994,64.81481481481481,high value,John RTA,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004959,344.0,0.0,344.0,1253.1121209171738,4.131054131054131,low value,John RTA,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50004984,3443.51,0.0,3443.51,12543.907324126445,12.108262108262108,low value,John RTA,M,M,    ,,
0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,0.9667467358987618,1,3,0,1,1,0,1,1580,50004985,55681.68,0.0,55681.68,206966.0506928642,69.23076923076923,high value,Ansh Aggarwal,M,M,    ,,
1.0,1.0,0.9874649592533408,0.9585023050080477,0.7601774221388984,1,3,0,0,1,0,1,119,50005064,4274.11,0.0,4274.11,15569.590253294482,14.814814814814813,low value,John RTA,M,M,    ,,
1.0,1.0,0.9973047927913533,0.9909730021686922,0.9430213744216346,1,3,0,1,1,0,1,119,50005205,11334.4,0.0,11334.4,43043.564908826826,30.1994301994302,medium value,Raj Sharma,M,M,    ,,
